run_name,cfg,seed,fix_skeleton,scale,ctrl_cost,checkpoints,best_exec_R_eps,best_epoch,final_epoch
rrbot_arm_pusher_H1,pusher,N/A,true,default,default,21,140.47,179,199
rrbot_arm_pusher_I1,pusher,N/A,true,default,default,101,238.7,649,999
rrbot_arm_pusher_I2,pusher,N/A,true,default,default,101,232.77,885,999
rrbot_arm_pusher_K1,pusher,N/A,true,default,default,21,139.75,197,199
rrbot_arm_pusher_K2,pusher,N/A,true,default,default,21,100.79,193,199
rrbot_arm_pusher_L2,pusher,N/A,true,default,default,101,102.16,953,999
rrbot_arm_pusher_L2_s2,pusher,1,true,default,default,101,145.35,895,999
rrbot_arm_pusher_fixmorph_s1,pusher,N/A,true,default,default,19,132.94,180,188
rrbot_arm_pusher_morph_frozen,pusher_fixmorph,N/A,true,default,default,11,16.75,100,100
rrbot_arm_reach_G3,pusher,N/A,true,default,default,21,-66.58,195,199
rrbot_arm_reach_G4,pusher,N/A,true,default,default,21,-66.07,179,199
rrbot_arm_reach_J1,pusher,N/A,true,default,default,43,-65.9,258,424
rrbot_arm_reach_L1,pusher,N/A,true,default,default,101,-2.93,870,999
rrbot_arm_reach_L1_s2,pusher,1,true,default,default,101,-3.67,722,999
rrbot_arm_reach_codesign_s1,pusher,N/A,default,default,default,21,-7.06,164,199
rrbot_arm_reach_fixmorph_s01,pusher,N/A,true,default,default,21,-66.35,176,199
rrbot_arm_targetpusher_TP1,target_pusher,N/A,true,default,default,21,0.37,192,199
rrbot_arm_targetpusher_TP2,target_pusher,N/A,true,default,default,79,0.45,550,780
rrbot_arm_targetpusher_TP2_s2,target_pusher,1,true,default,default,78,0.49,508,778
